Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
19020301,80287,22,2933,1,1,1023,1,1,20,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<(int)2, DynamicSize, DynamicSize, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Broadcasted<CuArrayStyle<(int)2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, _, Tuple<Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>, Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)"
19101740,82752,42,2933,1,1,1023,1,1,20,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<(int)2, DynamicSize, DynamicSize, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Broadcasted<CuArrayStyle<(int)2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, _, Tuple<Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>, Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)"
19185548,96639,62,8850,1,1,1017,1,1,20,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<(int)2, DynamicSize, DynamicSize, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Broadcasted<CuArrayStyle<(int)2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, _, Tuple<Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>, Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)"
19283147,80896,82,2933,1,1,1023,1,1,20,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<(int)2, DynamicSize, DynamicSize, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Broadcasted<CuArrayStyle<(int)2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, _, Tuple<Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>, Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)"
19365003,49024,102,2933,1,1,1023,1,1,20,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<(int)2, DynamicSize, DynamicSize, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, Slice<OneTo<Int64>>>, (bool)0>, Broadcasted<CuArrayStyle<(int)2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, identity, Tuple<Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)"
19415051,42943,122,977,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_linear(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, NDRange<(int)1, DynamicSize, DynamicSize, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>>>, SubArray<Float64, (int)1, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<Int64, Slice<OneTo<Int64>>>, (bool)1>, Broadcasted<CuArrayStyle<(int)1, DeviceMemory>, Tuple<OneTo<Int64>>, _, Tuple<Float64, Extruded<SubArray<Float64, (int)1, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<Int64, UnitRange<Int64>>, (bool)1>, Tuple<Bool>, Tuple<Int64>>>>)"
19459114,46336,142,2933,1,1,1023,1,1,20,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<(int)2, DynamicSize, DynamicSize, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, Slice<OneTo<Int64>>>, (bool)0>, Broadcasted<CuArrayStyle<(int)2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, identity, Tuple<Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)"
19506570,41952,162,977,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_linear(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, NDRange<(int)1, DynamicSize, DynamicSize, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>>>, SubArray<Float64, (int)1, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<Int64, Slice<OneTo<Int64>>>, (bool)1>, Broadcasted<CuArrayStyle<(int)1, DeviceMemory>, Tuple<OneTo<Int64>>, identity, Tuple<Extruded<SubArray<Float64, (int)1, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<Int64, UnitRange<Int64>>, (bool)1>, Tuple<Bool>, Tuple<Int64>>>>)"
19550538,36384,172,7813,1,1,128,1,1,22,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_extract_source_positions_kernel_(CuDeviceArray<Float64, (int)2, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Float64, (int)2, (int)1>, Int64, Int64)"
19588586,800,176,,,,,,,,,,0.000,5.000,Device,,NVIDIA H200 (0),1,,13,[CUDA memset]
