case,n,K_max,beta,sigma_classes,P,w_over_sigma,S_local,occupied_fill,directional_sigma_gradient,gap_histogram_bins,predicted_fraction,measured_fraction,absolute_error,tolerance_pass,map_variables
rotor,100000,128,2.0,1,4,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.90049572342437,0.0,0.90049572342437,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,1,4,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.90049572342437,0.0,0.90049572342437,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,1,8,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9895557400267802,0.0,0.9895557400267802,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,1,8,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9895557400267802,0.0,0.9895557400267802,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,2,4,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9048468415214959,0.0,0.9048468415214959,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,2,4,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9048468415214959,0.0,0.9048468415214959,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,2,8,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9943371884851603,0.0,0.9943371884851603,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,2,8,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9943371884851603,0.0,0.9943371884851603,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,4,4,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9070302783183696,0.0,0.9070302783183696,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,4,4,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9070302783183696,0.0,0.9070302783183696,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,4,8,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9967365695806258,0.0,0.9967365695806258,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,4,8,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9967365695806258,0.0,0.9967365695806258,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,8,4,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9081239716977241,0.0,0.9081239716977241,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,8,4,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9081239716977241,0.0,0.9081239716977241,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,8,8,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9979384304370594,0.0,0.9979384304370594,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,100000,128,2.0,8,8,14.914171292414132,1.0096871758485595,0.43718522663682147,0.5122221635779042,0,0.9979384304370594,0.0,0.9979384304370594,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,1,4,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9087240620381533,0.0,0.9087240620381533,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,1,4,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9087240620381533,0.0,0.9087240620381533,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,1,8,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.998597870371597,0.0,0.998597870371597,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,1,8,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.998597870371597,0.0,0.998597870371597,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,2,4,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9091613629104072,0.0,0.9091613629104072,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,2,4,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9091613629104072,0.0,0.9091613629104072,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,2,8,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9990784207806672,0.0,0.9990784207806672,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,2,8,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9990784207806672,0.0,0.9990784207806672,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,4,4,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9093800922552727,0.0,0.9093800922552727,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,4,4,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9093800922552727,0.0,0.9093800922552727,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,4,8,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9993187826981018,0.0,0.9993187826981018,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,4,8,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9993187826981018,0.0,0.9993187826981018,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,8,4,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9094894766604269,0.0,0.9094894766604269,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,8,4,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9094894766604269,0.0,0.9094894766604269,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,8,8,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9994389853411284,0.0,0.9994389853411284,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
rotor,1000000,128,2.0,8,8,18.623398717715702,1.000962681875864,0.475849677183579,0.4094076563410815,0,0.9994389853411284,0.0,0.9994389853411284,false,reduced_w_over_sigma+S_local;diagnostics_fill+gradient+gap_bins
