manifest,job,policy,strategy,precision,expansion_order,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
c0afa01083322fb8,13036854,sched6-6-6-6,dense,Float32,3,false,1000000,5,850,2,262,1896,16,7.236641221374046,2.0,6.0,12.0
c0afa01083322fb8,13036854,sched6-6-6-6,dense,Float32,3,false,1000000,5,850,3,850,112728,320,132.62117647058824,36.0,112.0,245.0
c0afa01083322fb8,13036854,sched6-6-6-6,dense,Float32,3,false,1000000,5,850,4,850,1521528,3328,1790.0329411764706,588.0,1440.0,2925.0
c0afa01083322fb8,13036854,sched6-6-6-6,dense,Float32,3,false,1000000,5,850,5,850,15184056,29696,17863.595294117647,6300.0,13888.0,27869.0
